video_name,aircraft,visibility,mist,fog,haze,sky_cover_l1,cloud_height_l1,rain,snow
1_2022-09-08-15-59-33,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-16-05-06,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-16-10-37,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-16-43-47,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-16-54-46,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-17-11-26,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-17-16-57,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-17-32-03,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-18-13-33,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-18-51-08,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-08-19-46-14,1,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-06-39-17,1,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-07-11-24,1,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-07-34-00,1,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-07-40-25,1,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-07-44-48,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-08-00-31,2,10,FALSE,FALSE,FALSE,FEW,4800,FALSE,FALSE
1_2022-09-09-08-11-00,2,10,FALSE,FALSE,FALSE,FEW,4800,FALSE,FALSE
1_2022-09-09-08-32-55,3,10,FALSE,FALSE,FALSE,FEW,4800,FALSE,FALSE
1_2022-09-09-08-43-47,8,10,FALSE,FALSE,FALSE,FEW,4800,FALSE,FALSE
1_2022-09-09-08-54-39,2,10,FALSE,FALSE,FALSE,FEW,4800,FALSE,FALSE
1_2022-09-09-09-00-05,2,10,FALSE,FALSE,FALSE,FEW,4900,FALSE,FALSE
1_2022-09-09-09-05-31,3,10,FALSE,FALSE,FALSE,FEW,4900,FALSE,FALSE
1_2022-09-09-09-16-24,3,10,FALSE,FALSE,FALSE,FEW,4900,FALSE,FALSE
1_2022-09-09-09-35-21,2,10,FALSE,FALSE,FALSE,FEW,4900,FALSE,FALSE
1_2022-09-09-09-41-45,3,10,FALSE,FALSE,FALSE,FEW,4900,FALSE,FALSE
1_2022-09-09-09-47-12,2,10,FALSE,FALSE,FALSE,FEW,4900,FALSE,FALSE
1_2022-09-09-09-55-36,1,10,FALSE,FALSE,FALSE,FEW,4900,FALSE,FALSE
1_2022-09-09-10-05-03,2,10,FALSE,FALSE,FALSE,BKN,7000,FALSE,FALSE
1_2022-09-09-10-10-29,3,10,FALSE,FALSE,FALSE,BKN,7000,FALSE,FALSE
1_2022-09-09-10-15-55,4,10,FALSE,FALSE,FALSE,BKN,7000,FALSE,FALSE
1_2022-09-09-10-29-18,1,10,FALSE,FALSE,FALSE,BKN,7000,FALSE,FALSE
1_2022-09-09-10-34-23,5,10,FALSE,FALSE,FALSE,BKN,7000,FALSE,FALSE
1_2022-09-09-10-39-53,7,10,FALSE,FALSE,FALSE,BKN,7000,FALSE,FALSE
1_2022-09-09-10-46-25,1,10,FALSE,FALSE,FALSE,BKN,7000,FALSE,FALSE
1_2022-09-09-11-02-14,1,10,FALSE,FALSE,FALSE,BKN,5500,FALSE,FALSE
1_2022-09-09-11-06-59,1,10,FALSE,FALSE,FALSE,BKN,5500,FALSE,FALSE
1_2022-09-09-11-09-33,2,10,FALSE,FALSE,FALSE,BKN,5500,FALSE,FALSE
1_2022-09-09-11-53-50,5,10,FALSE,FALSE,FALSE,BKN,5500,FALSE,FALSE
1_2022-09-09-12-30-37,5,10,FALSE,FALSE,FALSE,SCT,6000,FALSE,FALSE
1_2022-09-09-12-36-03,5,10,FALSE,FALSE,FALSE,SCT,6000,FALSE,FALSE
1_2022-09-09-12-41-29,6,10,FALSE,FALSE,FALSE,SCT,6000,FALSE,FALSE
1_2022-09-09-12-46-55,7,10,FALSE,FALSE,FALSE,SCT,6000,FALSE,FALSE
1_2022-09-09-12-52-27,7,10,FALSE,FALSE,FALSE,SCT,6000,FALSE,FALSE
1_2022-09-09-12-57-53,7,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-13-08-46,9,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-13-14-17,10,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-13-29-35,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-14-05-16,7,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-14-30-16,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-15-17-24,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-15-27-38,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-16-20-36,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-17-19-30,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-17-34-49,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-18-33-19,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-18-38-45,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-18-44-11,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-19-03-53,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-09-19-23-24,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-09-10-18-13-19,3,10,FALSE,FALSE,FALSE,BKN,11000,TRUE,FALSE
1_2022-09-10-18-17-50,1,10,FALSE,FALSE,FALSE,BKN,11000,TRUE,FALSE
1_2022-09-10-18-26-47,3,10,FALSE,FALSE,FALSE,BKN,11000,TRUE,FALSE
1_2022-09-11-13-40-47,1,10,FALSE,FALSE,FALSE,OVC,6000,FALSE,FALSE
1_2022-09-11-13-45-45,1,10,FALSE,FALSE,FALSE,OVC,6000,FALSE,FALSE
1_2022-09-11-15-43-00,1,10,FALSE,FALSE,FALSE,OVC,6000,FALSE,FALSE
1_2022-09-11-17-01-57,1,10,FALSE,FALSE,FALSE,FEW,6500,FALSE,FALSE
1_2022-11-17-11-24-26,3,10,FALSE,FALSE,FALSE,BKN,2800,FALSE,FALSE
0_2022-11-17-12-05-08,1,10,FALSE,FALSE,FALSE,SCT,2700,FALSE,FALSE
1_2022-11-17-12-16-10,2,10,FALSE,FALSE,FALSE,SCT,2700,FALSE,FALSE
0_2022-11-17-12-16-10,2,10,FALSE,FALSE,FALSE,SCT,2700,FALSE,FALSE
1_2022-11-17-12-28-36,1,10,FALSE,FALSE,FALSE,SCT,2700,FALSE,FALSE
0_2022-11-17-12-28-36,1,10,FALSE,FALSE,FALSE,SCT,2700,FALSE,FALSE
1_2022-11-17-12-41-26,1,10,FALSE,FALSE,FALSE,SCT,2700,FALSE,FALSE
0_2022-11-17-12-41-26,1,10,FALSE,FALSE,FALSE,SCT,2700,FALSE,FALSE
1_2022-11-17-14-43-17,5,10,FALSE,FALSE,FALSE,OVC,3100,FALSE,FALSE
0_2022-11-17-14-43-17,5,10,FALSE,FALSE,FALSE,OVC,3100,FALSE,FALSE
0_2022-11-17-14-56-25,5,10,FALSE,FALSE,FALSE,OVC,3400,FALSE,FALSE
1_2022-11-17-15-32-10,7,10,FALSE,FALSE,FALSE,OVC,3400,FALSE,FALSE
1_2022-11-17-15-39-00,9,10,FALSE,FALSE,FALSE,OVC,3400,FALSE,FALSE
0_2022-11-17-15-39-00,9,10,FALSE,FALSE,FALSE,OVC,3400,FALSE,FALSE
1_2022-11-17-15-45-51,7,10,FALSE,FALSE,FALSE,OVC,3400,FALSE,FALSE
0_2022-11-17-15-45-51,7,10,FALSE,FALSE,FALSE,OVC,3400,FALSE,FALSE
0_2022-11-17-15-58-30,4,7,FALSE,FALSE,FALSE,OVC,2800,FALSE,FALSE
1_2022-11-17-16-04-03,2,7,FALSE,FALSE,FALSE,OVC,2800,FALSE,FALSE
0_2022-11-17-16-04-03,2,7,FALSE,FALSE,FALSE,OVC,2800,FALSE,FALSE
0_2022-11-17-16-11-13,2,7,FALSE,FALSE,FALSE,OVC,2800,FALSE,FALSE
1_2022-11-18-07-00-32,2,1.75,FALSE,FALSE,FALSE,FEW,1500,FALSE,TRUE
0_2022-11-18-07-12-25,2,1.75,FALSE,FALSE,FALSE,FEW,1500,FALSE,TRUE
1_2022-11-18-07-23-33,1,1.75,FALSE,FALSE,FALSE,FEW,1500,FALSE,TRUE
0_2022-11-18-07-23-33,1,1.75,FALSE,FALSE,FALSE,FEW,1500,FALSE,TRUE
0_2022-11-18-07-29-05,1,1.75,FALSE,FALSE,FALSE,FEW,1500,FALSE,TRUE
1_2022-11-18-11-35-32,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
0_2022-11-18-11-35-32,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-11-18-11-50-39,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
0_2022-11-18-13-06-27,3,10,FALSE,FALSE,FALSE,OVC,4600,FALSE,FALSE
1_2022-11-18-14-34-32,4,10,FALSE,FALSE,FALSE,OVC,4400,FALSE,FALSE
0_2022-11-18-14-34-32,4,10,FALSE,FALSE,FALSE,OVC,4400,FALSE,FALSE
0_2022-11-18-15-25-26,3,10,FALSE,FALSE,FALSE,OVC,3700,FALSE,FALSE
0_2022-11-18-15-30-58,2,10,FALSE,FALSE,FALSE,OVC,3700,FALSE,FALSE
0_2022-11-18-16-09-32,3,10,FALSE,FALSE,FALSE,OVC,4000,FALSE,FALSE
0_2022-11-18-17-08-53,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
0_2022-11-19-07-31-15,2,10,FALSE,FALSE,FALSE,SCT,4300,FALSE,FALSE
0_2022-11-19-08-25-51,1,10,FALSE,FALSE,FALSE,FEW,4500,FALSE,FALSE
0_2022-11-19-08-40-16,4,10,FALSE,FALSE,FALSE,FEW,4500,FALSE,FALSE
1_2022-11-19-09-09-19,7,10,FALSE,FALSE,FALSE,FEW,4600,FALSE,FALSE
0_2022-11-19-09-43-39,3,10,FALSE,FALSE,FALSE,FEW,4600,FALSE,FALSE
0_2022-11-19-09-54-05,2,10,FALSE,FALSE,FALSE,FEW,4600,FALSE,FALSE
